Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name, Sales ,Quantity,Discount,Profit,Profit Margin,Month-Year,Years,Days to Ship,Discount Impact,AOV,High/Low Profit Flag
1,CA-2016-152156,11/8/16,11/11/16,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,$261.96,2,0.00%,$41.91,16%,Nov-2016,2016,3,$0.00,$130.98,Profitable
2,CA-2016-152156,11/8/16,11/11/16,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",$731.94,3,0.00%,$219.58,30%,Nov-2016,2016,3,$0.00,$243.98,Profitable
3,CA-2016-138688,6/12/16,6/16/16,Second Class,DV-13045,Darrin Van Huff,Corporate,United States,Los Angeles,California,90036,West,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,$14.62,2,0.00%,$6.87,47%,Jun-2016,2016,4,$0.00,$7.31,Profitable
4,US-2015-108966,10/11/15,10/18/15,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,$957.58,5,45.00%,-$383.03,-40%,Oct-2015,2015,7,$783.47,$191.52,Loss
5,US-2015-108966,10/11/15,10/18/15,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,$22.37,2,20.00%,$2.52,11%,Oct-2015,2015,7,$5.59,$11.18,Profitable
6,CA-2014-115812,6/9/14,6/14/14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",$48.86,7,0.00%,$14.17,29%,Jun-2014,2014,5,$0.00,$6.98,Profitable
7,CA-2014-115812,6/9/14,6/14/14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,OFF-AR-10002833,Office Supplies,Art,Newell 322,$7.28,4,0.00%,$1.97,27%,Jun-2014,2014,5,$0.00,$1.82,Profitable
8,CA-2014-115812,6/9/14,6/14/14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,$907.15,6,20.00%,$90.72,10%,Jun-2014,2014,5,$226.79,$151.19,Profitable
9,CA-2014-115812,6/9/14,6/14/14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,$18.50,3,20.00%,$5.78,31%,Jun-2014,2014,5,$4.63,$6.17,Profitable
10,CA-2014-115812,6/9/14,6/14/14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,$114.90,5,0.00%,$34.47,30%,Jun-2014,2014,5,$0.00,$22.98,Profitable
